e,1741513716871503625,449.365,17.625,45.203
a,1741513717035451795,463.943,17.071,44.922
e,1741513717861688601,826.187,9.586,44.255
a,1741513717980747600,419.026,18.901,44.001
s,1741513718280499058,599.747,13.206,43.693
i,1741513718445048347,164.543,48.133,43.737
e,1741513718610915543,165.861,47.751,43.777
r,1741513718671382801,60.463,130.988,44.649
e,1741513719765656619,1584.433,4.999,44.252
a,1741513719990781545,625.121,12.67,43.936
s,1741513720440246732,849.461,9.324,43.59
i,1741513720650147024,609.895,12.986,43.284
e,1741513720980472796,730.317,10.845,42.96
r,1741513721130326111,549.847,14.404,42.674
a,1741513721716252901,491.86,16.102,42.145
r,1741513721880442274,164.183,48.239,42.206
i,1741513722000313717,119.865,66.074,42.445
s,1741513722180589809,180.264,43.936,42.46
e,1741513722285638734,105.045,75.396,42.789
a,1741513722630085394,239.983,33.002,43.018
s,1741513722780444157,150.353,52.676,43.115
s,1741513722930245260,149.795,52.872,43.213
e,1741513723066380350,136.129,58.18,43.363
s,1741513723139056266,72.669,108.987,44.019
s,1741513723276115151,137.053,57.788,44.157
e,1741513728005523571,1510.066,5.245,43.768
e,1741513728841163102,1510.066,5.245,43.383
r,1741513729066371784,325.203,24.354,43.193
r,1741513729215419336,149.042,53.14,43.292
o,1741513729350283687,134.858,58.729,43.446
r,1741513729455217583,104.929,75.479,43.766
a,1741513729965275534,329.994,24.0,43.57
i,1741513730115587946,150.308,52.692,43.661
r,1741513730205542682,89.951,88.048,44.105
e,1741513730670439203,344.262,23.006,44.108
r,1741513730940731035,270.286,29.302,43.96
a,1741513731060175025,119.44,66.31,44.183
a,1741513731495309891,344.479,22.991,44.399
r,1741513731675313088,179.996,44.001,44.395
e,1741513731780393840,105.074,75.376,44.705
a,1741513731916575943,136.176,58.16,44.84
a,1741513741275714666,1511.093,5.241,44.444
a,1741513742220740008,1511.093,5.241,44.052
r,1741513742490631395,569.883,13.898,43.75
e,1741513742670328181,379.69,20.859,43.521
a,1741513742805274356,334.942,23.646,43.322
s,1741513743090543637,485.264,16.321,43.052
s,1741513744561750005,645.968,12.261,42.412
e,1741513744710331098,148.576,53.306,42.521
e,1741513745220557075,510.204,15.523,42.251
s,1741513745745607569,315.106,25.134,42.035
e,1741513746105347648,359.732,22.016,41.835
e,1741513746240614932,135.26,58.554,42.002
s,1741513746346009304,105.388,75.151,42.333
r,1741513746795279510,330.133,23.99,42.389
a,1741513747050062138,254.778,31.086,42.276
i,1741513747246017320,195.951,40.418,42.257
s,1741513747620768213,374.743,21.134,42.046
e,1741513747980418890,359.643,22.022,41.846
s,1741513748431317607,299.91,26.408,41.797
e,1741513748580904398,149.58,52.948,41.909
r,1741513748730397639,149.485,52.982,42.02
i,1741513748881284696,150.877,52.493,42.125
e,1741513749030209487,148.92,53.183,42.236
s,1741513749100235561,70.021,113.108,42.945
a,1741513749480716390,285.021,27.787,43.189
s,1741513749735791203,255.069,31.05,43.068
s,1741513749886145192,150.35,52.677,43.164
e,1741513750006122029,119.973,66.015,43.393
s,1741513750081354938,75.227,105.281,44.012
s,1741513750231104032,149.743,52.89,44.101
s,1741513750740337466,254.777,31.086,43.842
i,1741513750921030605,180.685,43.833,43.842
r,1741513751025623057,104.586,75.727,44.161
s,1741513751385062948,209.281,37.844,44.183
e,1741513751550122605,165.056,47.984,44.221
e,1741513751717772583,167.645,47.243,44.251
a,1741513752045844110,225.465,35.127,44.486
s,1741513752285686694,239.834,33.023,44.371
i,1741513752451321507,165.624,47.819,44.405
a,1741513752525399570,74.073,106.922,45.03
a,1741513753065371617,433.395,18.274,45.053
s,1741513753320392137,255.014,31.057,44.913
i,1741513753470014169,149.618,52.935,44.993
a,1741513753575289290,105.27,75.235,45.295
s,1741513753980171492,343.741,23.041,45.907
r,1741513754205350631,225.173,35.173,45.8
i,1741513754295342128,89.985,88.015,46.222
a,1741513754640451930,223.238,35.478,46.301
r,1741513754970250663,329.794,24.015,46.078
e,1741513755105567252,135.312,58.532,46.203
s,1741513756335569685,1097.529,7.216,45.813
a,1741513756476554341,140.98,56.178,45.917
r,1741513756740303471,263.742,30.029,45.758
a,1741513756890505251,150.196,52.731,45.828
s,1741513757265256083,269.983,29.335,45.958
e,1741513757505513345,240.252,32.965,45.828
a,1741513757641101684,135.582,58.415,45.954
